DISTRICTE;CODI_ILLA;SECC_CENS;BARRI;NOM_DISTRICTE;NOM_BARRI;AEB;HABITANTS;NUM_PARC;NUM_LOCALS;NUM_VIVENDES;NUM_PARKINGS;NUM_ALTRES;SUP_CONS;SUP_SOBRE_RASANT;SUP_SOTA_RASANT;SUP_LOCALS;SUP_SERVEIS;SUP_SOL;DATA_DADES
01;05071;001;01;Ciutat Vella;el Raval;001;4;4;96;4;3;89;137256;94173;43083;230093;0;116146;15/04/15
01;06041;036;03;Ciutat Vella;la Barceloneta;014;0;1;0;0;0;0;0;0;0;0;0;8360;15/04/15
01;06044;036;03;Ciutat Vella;la Barceloneta;014;0;1;0;0;0;0;0;0;0;0;0;4843;15/04/15
01;06054;036;03;Ciutat Vella;la Barceloneta;014;0;2;0;0;0;0;0;0;0;0;0;58682;15/04/15
01;06055;036;03;Ciutat Vella;la Barceloneta;014;14;4;693;60;565;68;94055;55073;38982;80085;13970;22160;15/04/15
01;06057;043;04;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;016;0;2;0;0;0;0;0;0;0;0;0;5932;15/04/15
01;06058;036;03;Ciutat Vella;la Barceloneta;014;77;3;51;44;1;6;18534;12632;5902;17770;764;7289;15/04/15
01;06059;036;03;Ciutat Vella;la Barceloneta;014;0;2;23;0;1;22;35338;28170;7168;35338;0;7193;15/04/15
01;10026;032;03;Ciutat Vella;la Barceloneta;013;230;21;316;112;10;194;190090;128296;61794;541880;826;434499;15/04/15
01;10030;032;03;Ciutat Vella;la Barceloneta;013;92;6;90;78;0;12;7603;7603;0;6900;703;17348;15/04/15
01;10040;032;03;Ciutat Vella;la Barceloneta;013;0;1;0;0;0;0;0;0;0;0;0;11372;15/04/15
01;10050;032;03;Ciutat Vella;la Barceloneta;013;0;1;1;0;0;1;71;71;0;71;0;71;15/04/15
01;10060;032;03;Ciutat Vella;la Barceloneta;013;4;2;10;4;0;6;1117;1117;0;914;203;217;15/04/15
01;10070;032;03;Ciutat Vella;la Barceloneta;013;52;5;42;37;0;5;1854;1782;72;1675;179;409;15/04/15
01;10080;032;03;Ciutat Vella;la Barceloneta;013;101;8;53;50;0;3;2036;2036;0;1880;156;551;15/04/15
01;10090;032;03;Ciutat Vella;la Barceloneta;013;44;7;47;38;0;9;4351;4351;0;3797;554;777;15/04/15
01;10100;032;03;Ciutat Vella;la Barceloneta;013;147;9;96;96;0;0;3718;3718;0;3347;371;780;15/04/15
01;10110;032;03;Ciutat Vella;la Barceloneta;013;144;7;112;112;0;0;4283;4283;0;3851;432;795;15/04/15
01;10120;032;03;Ciutat Vella;la Barceloneta;013;123;7;98;79;1;18;8292;8161;131;7515;777;1375;15/04/15
01;10130;032;03;Ciutat Vella;la Barceloneta;013;56;5;54;37;0;17;5733;5542;191;5376;357;1142;15/04/15
